id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,rack_levels,rack_distances,total_rack_height,created_at
41,43,22,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:07:47.527507
42,44,23,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:21:00.491674
43,45,24,STOP_1_to_2_001,Stop 1,500.0,383.3333333333333,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:27:55.613813
44,45,24,STOP_1_to_2_002,Stop 2,500.0,366.6666666666667,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:27:55.628755
45,45,24,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:28:43.300657
46,45,24,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:28:43.315378
47,45,24,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:28:43.328125
48,46,25,STOP_1_to_2_001,Stop 1,500.0,416.6666666666667,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:33:17.059865
49,46,25,STOP_1_to_2_002,Stop 2,500.0,433.3333333333333,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:33:17.078071
50,49,27,STOP_1_to_2_001,Stop 1,500.0,383.3333333333333,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:36:03.174241
51,49,27,STOP_1_to_2_002,Stop 2,500.0,366.6666666666667,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:36:03.193417
52,50,28,STOP_1_to_2_001,Stop 1,500.0,375.0,1,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:37:58.910051
53,50,28,STOP_1_to_2_001,Stop 1,500.0,375.0,0,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T13:38:50.002585
54,50,28,STOP_1_to_2_001,Stop 1,500.0,387.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:39:51.994776
55,50,28,STOP_1_to_2_002,Stop 2,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:39:52.016208
56,50,28,STOP_1_to_2_003,Stop 3,500.0,362.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:39:52.023497
57,51,29,STOP_1_to_2_001,Stop 1,500.0,375.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:46:00.369959
58,51,29,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:46:56.373857
59,51,29,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:46:56.395184
60,51,29,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:46:56.405981
61,51,29,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:49:58.086677
62,51,29,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:49:58.106313
63,51,29,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:49:58.114157
64,52,30,STOP_1_to_2_001,Stop 1,500.0,350.0,0,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:51:45.057013
65,52,30,STOP_1_to_2_001,Stop 1,500.0,366.6666666666667,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:52:07.655682
66,52,30,STOP_1_to_2_002,Stop 2,500.0,333.3333333333333,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T14:52:07.673489
67,52,30,STOP_1_to_2_001,Stop 1,500.0,366.6666666666667,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:04:53.539997
68,52,30,STOP_1_to_2_002,Stop 2,500.0,333.3333333333333,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:04:53.560326
69,52,30,STOP_1_to_2_001,Stop 1,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:11.532352
70,52,30,STOP_1_to_2_002,Stop 2,500.0,350.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:11.548366
71,52,30,STOP_1_to_2_003,Stop 3,500.0,325.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:11.557305
72,53,31,STOP_a_to_b_001,Stop 1,500.0,387.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:44.221813
73,53,31,STOP_a_to_b_002,Stop 2,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:44.235822
74,53,31,STOP_a_to_b_003,Stop 3,500.0,362.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:06:44.246210
75,54,32,STOP_1_to_2_001,Stop 1,100.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:15:24.042264
76,54,32,STOP_1_to_2_002,Stop 2,100.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:15:24.057716
77,54,32,STOP_1_to_2_003,Stop 3,100.0,562.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:15:24.066536
78,55,33,STOP_1_to_2_001,Stop 1,100.0,608.3333333333334,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:18:28.548348
79,55,33,STOP_1_to_2_002,Stop 2,100.0,616.6666666666666,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:18:28.566084
80,55,33,STOP_1_to_2_003,Stop 3,100.0,625.0,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:18:28.578942
81,55,33,STOP_1_to_2_004,Stop 4,100.0,633.3333333333334,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:18:28.590408
82,55,33,STOP_1_to_2_005,Stop 5,100.0,641.6666666666666,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:18:28.602579
83,56,34,STOP_1_to_2_001,Stop 1,500.0,412.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:31:01.443126
84,56,34,STOP_1_to_2_002,Stop 2,500.0,425.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:31:01.457811
85,56,34,STOP_1_to_2_003,Stop 3,500.0,437.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:31:01.468223
86,57,35,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:35:22.963277
87,57,35,STOP_02_LEFT1,Stop 2 - Left Bin 1,102.0,583.67,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:35:22.976011
88,57,35,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:35:22.985411
89,57,35,STOP_04_LEFT2,Stop 4 - Left Bin 2,102.0,566.33,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:35:22.995035
90,57,35,STOP_05_RIGHT3,Stop 5 - Right Bin 3,98.0,562.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:35:23.005040
91,57,35,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.67,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:36:09.152477
92,57,35,STOP_02_LEFT2,Stop 2 - Left Bin 2,102.0,566.33,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:36:09.169301
93,59,37,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:38:00.475144
94,59,37,STOP_02_LEFT1,Stop 2 - Left Bin 1,102.0,583.67,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:38:00.496347
95,59,37,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:38:00.510434
96,59,37,STOP_04_LEFT2,Stop 4 - Left Bin 2,102.0,566.33,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:38:00.521152
98,59,37,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.67,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:40:22.039438
99,59,37,STOP_02_LEFT2,Stop 2 - Left Bin 2,102.0,566.33,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:40:22.054811
100,60,38,STOP_01_LEFT1,Stop 1 - Left Bin 1,498.0,416.33,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:52:37.498292
101,60,38,STOP_02_RIGHT1,Stop 2 - Right Bin 1,502.0,425.0,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:52:37.512405
102,60,38,STOP_03_LEFT2,Stop 3 - Left Bin 2,498.0,433.67,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T15:52:37.523231
103,67,41,STOP_01_RIGHT1,Stop 1 - Right Bin 1,102.0,616.6666666666666,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T16:06:29.602067
104,67,41,STOP_02_LEFT1,Stop 2 - Left Bin 1,98.0,625.0,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T16:06:29.613781
105,67,41,STOP_03_RIGHT2,Stop 3 - Right Bin 2,102.0,633.3333333333334,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T16:06:29.623888
