id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,rack_levels,rack_distances,total_rack_height,distance_from_start,created_at
57,51,29,STOP_1_to_2_001,Stop 1,500.0,375.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:46:00.369959
58,51,29,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:46:56.373857
59,51,29,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:46:56.395184
60,51,29,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:46:56.405981
61,51,29,STOP_1_to_2_001,Stop 1,500.0,387.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:49:58.086677
62,51,29,STOP_1_to_2_002,Stop 2,500.0,375.0,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:49:58.106313
63,51,29,STOP_1_to_2_003,Stop 3,500.0,362.5,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:49:58.114157
64,52,30,STOP_1_to_2_001,Stop 1,500.0,350.0,0,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:51:45.057013
65,52,30,STOP_1_to_2_001,Stop 1,500.0,366.6666666666667,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:52:07.655682
66,52,30,STOP_1_to_2_002,Stop 2,500.0,333.3333333333333,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T14:52:07.673489
67,52,30,STOP_1_to_2_001,Stop 1,500.0,366.6666666666667,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:04:53.539997
68,52,30,STOP_1_to_2_002,Stop 2,500.0,333.3333333333333,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:04:53.560326
69,52,30,STOP_1_to_2_001,Stop 1,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:11.532352
70,52,30,STOP_1_to_2_002,Stop 2,500.0,350.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:11.548366
71,52,30,STOP_1_to_2_003,Stop 3,500.0,325.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:11.557305
72,53,31,STOP_a_to_b_001,Stop 1,500.0,387.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:44.221813
73,53,31,STOP_a_to_b_002,Stop 2,500.0,375.0,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:44.235822
74,53,31,STOP_a_to_b_003,Stop 3,500.0,362.5,3,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:06:44.246210
75,54,32,STOP_1_to_2_001,Stop 1,100.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:15:24.042264
76,54,32,STOP_1_to_2_002,Stop 2,100.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:15:24.057716
77,54,32,STOP_1_to_2_003,Stop 3,100.0,562.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:15:24.066536
78,55,33,STOP_1_to_2_001,Stop 1,100.0,608.3333333333334,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:18:28.548348
79,55,33,STOP_1_to_2_002,Stop 2,100.0,616.6666666666666,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:18:28.566084
80,55,33,STOP_1_to_2_003,Stop 3,100.0,625.0,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:18:28.578942
81,55,33,STOP_1_to_2_004,Stop 4,100.0,633.3333333333334,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:18:28.590408
82,55,33,STOP_1_to_2_005,Stop 5,100.0,641.6666666666666,0,5,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:18:28.602579
83,56,34,STOP_1_to_2_001,Stop 1,500.0,412.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:31:01.443126
84,56,34,STOP_1_to_2_002,Stop 2,500.0,425.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:31:01.457811
85,56,34,STOP_1_to_2_003,Stop 3,500.0,437.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:31:01.468223
86,57,35,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:35:22.963277
87,57,35,STOP_02_LEFT1,Stop 2 - Left Bin 1,102.0,583.67,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:35:22.976011
88,57,35,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:35:22.985411
89,57,35,STOP_04_LEFT2,Stop 4 - Left Bin 2,102.0,566.33,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:35:22.995035
90,57,35,STOP_05_RIGHT3,Stop 5 - Right Bin 3,98.0,562.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:35:23.005040
91,57,35,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.67,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:36:09.152477
92,57,35,STOP_02_LEFT2,Stop 2 - Left Bin 2,102.0,566.33,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:36:09.169301
93,59,37,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,587.5,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:38:00.475144
94,59,37,STOP_02_LEFT1,Stop 2 - Left Bin 1,102.0,583.67,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:38:00.496347
95,59,37,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,575.0,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:38:00.510434
96,59,37,STOP_04_LEFT2,Stop 4 - Left Bin 2,102.0,566.33,2,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:38:00.521152
98,59,37,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.67,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:40:22.039438
99,59,37,STOP_02_LEFT2,Stop 2 - Left Bin 2,102.0,566.33,2,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T15:40:22.054811
100,60,38,STOP_01_LEFT1,Stop 1 - Left Bin 1,498.0,416.33,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:52:37.498292
101,60,38,STOP_02_RIGHT1,Stop 2 - Right Bin 1,502.0,425.0,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:52:37.512405
102,60,38,STOP_03_LEFT2,Stop 3 - Left Bin 2,498.0,433.67,2,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T15:52:37.523231
104,67,41,STOP_02_LEFT1,Stop 2 - Left Bin 1,98.0,625.0,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:06:29.613781
105,67,41,STOP_03_RIGHT2,Stop 3 - Right Bin 2,102.0,633.3333333333334,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:06:29.623888
106,67,41,STOP_01_LEFT1,Stop 1 - Left Bin 1,98.0,610.8888888888889,4,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:09:37.987748
107,67,41,STOP_02_LEFT2,Stop 2 - Left Bin 2,98.0,621.7777777777778,4,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:09:38.006937
108,67,41,STOP_03_LEFT3,Stop 3 - Left Bin 3,98.0,632.6666666666666,4,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:09:38.018906
109,67,41,STOP_04_LEFT4,Stop 4 - Left Bin 4,98.0,643.5555555555555,4,0,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:09:38.027639
110,68,42,STOP_01_RIGHT1,Stop 1 - Right Bin 1,98.0,583.3333333333334,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:03.603378
111,68,42,STOP_02_LEFT1,Stop 2 - Left Bin 1,102.0,575.0,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:03.625195
112,68,42,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,566.6666666666666,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:03.636305
113,68,42,STOP_04_RIGHT1,Stop 4 - Right Bin 1,98.0,587.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.515456
114,68,42,STOP_05_LEFT1,Stop 5 - Left Bin 1,102.0,586.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.528327
115,68,42,STOP_06_RIGHT2,Stop 6 - Right Bin 2,98.0,575.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.536480
116,68,42,STOP_07_LEFT2,Stop 7 - Left Bin 2,102.0,572.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.546991
117,68,42,STOP_08_RIGHT3,Stop 8 - Right Bin 3,98.0,562.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.554949
118,68,42,STOP_09_LEFT3,Stop 9 - Left Bin 3,102.0,558.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:15:16.564142
119,69,43,STOP_01_LEFT1,Stop 1 - Left Bin 1,98.0,616.33,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:16:35.317152
120,69,43,STOP_02_RIGHT1,Stop 2 - Right Bin 1,102.0,616.6666666666666,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:16:35.328066
121,69,43,STOP_03_RIGHT2,Stop 3 - Right Bin 2,102.0,633.3333333333334,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:16:35.336186
122,69,43,STOP_04_LEFT2,Stop 4 - Left Bin 2,98.0,633.67,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:16:35.347060
123,69,43,STOP_05_LEFT1,Stop 5 - Left Bin 1,98.0,625.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:17:09.299173
124,69,43,STOP_06_RIGHT1,Stop 6 - Right Bin 1,102.0,625.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T16:17:09.314994
125,69,43,STOP_07_LEFT1,Stop 7 - Left Bin 1,98.0,616.33,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:19.189266
126,69,43,STOP_08_RIGHT1,Stop 8 - Right Bin 1,102.0,616.6666666666666,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:19.203443
127,69,43,STOP_09_RIGHT2,Stop 9 - Right Bin 2,102.0,633.3333333333334,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:19.215718
128,69,43,STOP_10_LEFT2,Stop 10 - Left Bin 2,98.0,633.67,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:19.224779
129,69,43,STOP_11_RIGHT1,Stop 11 - Right Bin 1,102.0,612.5,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.760716
130,69,43,STOP_12_LEFT1,Stop 12 - Left Bin 1,98.0,614.0,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.775080
131,69,43,STOP_13_RIGHT2,Stop 13 - Right Bin 2,102.0,625.0,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.784980
132,69,43,STOP_14_LEFT2,Stop 14 - Left Bin 2,98.0,628.0,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.793431
133,69,43,STOP_15_RIGHT3,Stop 15 - Right Bin 3,102.0,637.5,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.804304
134,69,43,STOP_16_LEFT3,Stop 16 - Left Bin 3,98.0,642.0,3,3,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:22:34.813747
135,69,43,STOP_17_RIGHT1,Stop 17 - Right Bin 1,102.0,610.0,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:04.954045
136,69,43,STOP_18_LEFT1,Stop 18 - Left Bin 1,98.0,610.8888888888889,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:04.971638
137,69,43,STOP_19_RIGHT2,Stop 19 - Right Bin 2,102.0,620.0,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:04.983629
138,69,43,STOP_20_LEFT2,Stop 20 - Left Bin 2,98.0,621.7777777777778,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:04.994263
139,69,43,STOP_21_RIGHT3,Stop 21 - Right Bin 3,102.0,630.0,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:05.005688
140,69,43,STOP_22_LEFT3,Stop 22 - Left Bin 3,98.0,632.6666666666666,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:05.016073
141,69,43,STOP_23_RIGHT4,Stop 23 - Right Bin 4,102.0,640.0,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:05.025624
142,69,43,STOP_24_LEFT4,Stop 24 - Left Bin 4,98.0,643.5555555555555,4,4,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:23:05.035291
143,69,43,STOP_25_LEFT1,Stop 25 - Left Bin 1,98.0,625.0,1,1,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:07.172587
144,69,43,STOP_26_RIGHT1,Stop 26 - Right Bin 1,102.0,625.0,1,1,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:07.191913
145,69,43,STOP_27_LEFT1,Stop 27 - Left Bin 1,98.0,616.33,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:33.761345
146,69,43,STOP_28_RIGHT1,Stop 28 - Right Bin 1,102.0,616.6666666666666,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:33.773802
147,69,43,STOP_29_RIGHT2,Stop 29 - Right Bin 2,102.0,633.3333333333334,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:33.782664
148,69,43,STOP_30_LEFT2,Stop 30 - Left Bin 2,98.0,633.67,2,2,2.0,2.0,1,10.0,10.0,50.0,2025-08-13T16:24:33.790685
149,70,44,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.67,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T16:28:13.860973
150,70,44,STOP_02_RIGHT1,Stop 2 - Right Bin 1,98.0,583.3333333333334,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T16:28:13.876871
151,70,44,STOP_03_RIGHT2,Stop 3 - Right Bin 2,98.0,566.6666666666666,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T16:28:13.887008
152,70,44,STOP_04_LEFT2,Stop 4 - Left Bin 2,102.0,566.33,2,2,2.0,2.0,1,10.0,10.0,0,2025-08-13T16:28:13.896847
153,71,45,STOP_01_LEFT1,Stop 1 - Left Bin 1,102.0,583.3333333333334,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:08.262298
154,71,45,STOP_02_RIGHT1,Stop 2 - Right Bin 1,98.0,583.3333333333334,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:08.275904
155,71,45,STOP_03_LEFT2,Stop 3 - Left Bin 2,102.0,566.6666666666666,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:08.288800
156,71,45,STOP_04_RIGHT2,Stop 4 - Right Bin 2,98.0,566.6666666666666,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:08.300889
157,71,45,STOP_05_LEFT1,Stop 5 - Left Bin 1,102.0,587.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.689821
158,71,45,STOP_06_RIGHT1,Stop 6 - Right Bin 1,98.0,587.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.705183
159,71,45,STOP_07_LEFT2,Stop 7 - Left Bin 2,102.0,575.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.713306
160,71,45,STOP_08_RIGHT2,Stop 8 - Right Bin 2,98.0,575.0,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.722940
161,71,45,STOP_09_LEFT3,Stop 9 - Left Bin 3,102.0,562.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.731568
162,71,45,STOP_10_RIGHT3,Stop 10 - Right Bin 3,98.0,562.5,3,3,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:19.741349
163,71,45,STOP_11_LEFT1,Stop 11 - Left Bin 1,102.0,590.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.172108
164,71,45,STOP_12_RIGHT1,Stop 12 - Right Bin 1,98.0,590.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.189178
165,71,45,STOP_13_LEFT2,Stop 13 - Left Bin 2,102.0,580.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.200430
166,71,45,STOP_14_RIGHT2,Stop 14 - Right Bin 2,98.0,580.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.212335
167,71,45,STOP_15_LEFT3,Stop 15 - Left Bin 3,102.0,570.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.224691
168,71,45,STOP_16_RIGHT3,Stop 16 - Right Bin 3,98.0,570.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.237964
169,71,45,STOP_17_LEFT4,Stop 17 - Left Bin 4,102.0,560.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.250597
170,71,45,STOP_18_RIGHT4,Stop 18 - Right Bin 4,98.0,560.0,4,4,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:30.265508
171,71,45,STOP_19_LEFT1,Stop 19 - Left Bin 1,102.0,575.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:51.312358
172,71,45,STOP_20_RIGHT1,Stop 20 - Right Bin 1,98.0,575.0,1,1,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:34:51.324482
173,71,45,STOP_21_RIGHT1,Stop 21 - Right Bin 1,98.0,583.3333333333334,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:35:59.650437
174,71,45,STOP_22_LEFT1,Stop 22 - Left Bin 1,102.0,575.0,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:35:59.664909
175,71,45,STOP_23_RIGHT2,Stop 23 - Right Bin 2,98.0,566.6666666666666,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,0,2025-08-13T16:35:59.673555
176,101,60,STOP_01_RIGHT1,Stop 1 - Right Bin 1,502.0,416.6666666666667,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T17:45:41.924243
177,101,60,STOP_02_LEFT1,Stop 2 - Left Bin 1,498.0,425.0,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T17:45:41.941881
178,101,60,STOP_03_RIGHT2,Stop 3 - Right Bin 2,502.0,433.3333333333333,1,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,50.0,2025-08-13T17:45:41.951895
