id,map_id,from_zone,to_zone,magnitude,direction,zone_type,created_at
98,58,4,5,50.0,west,storage,2025-08-13T17:40:26.647289
99,59,1,2,50.0,north,storage,2025-08-13T17:43:42.820936
100,59,2,3,50.0,east,storage,2025-08-13T17:43:54.447597
101,60,1,2,50.0,south,storage,2025-08-13T17:44:15.509134
102,60,2,3,50.0,east,storage,2025-08-13T17:44:34.077210
103,60,3,4,100.0,north,storage,2025-08-13T17:45:04.095040
104,61,1,2,50.0,north,storage,2025-08-13T18:53:27.539868
105,62,1,2,50.0,north,storage,2025-08-14T12:22:08.531594
106,63,1,2,50.0,north,storage,2025-08-14T12:43:03.687921
107,63,2,3,50.0,east,storage,2025-08-14T12:43:52.269450
108,63,3,4,50.0,south,storage,2025-08-14T12:45:20.353947
109,64,1,2,50.0,north,quality_control,2025-08-14T14:31:41.724024
110,65,1,2,50.0,west,storage,2025-08-14T14:45:04.633463
111,66,1,2,50.0,north,storage,2025-08-14T14:55:35.574727
112,67,1,2,50.0,north,storage,2025-08-14T15:25:53.827164
113,68,1,2,50.0,east,storage,2025-08-14T17:51:01.339455
114,69,1,2,50.0,north,storage,2025-08-14T18:16:56.773153
115,70,1,2,50.0,north,storage,2025-08-14T18:22:59.864051
116,72,1,2,50.0,south,storage,2025-08-14T18:28:47.921042
117,74,1,2,50.0,north,storage,2025-08-16T11:25:59.401138
118,75,1,2,50.0,north,storage,2025-08-16T11:31:41.201289
119,76,1,2,50.0,north,storage,2025-08-16T11:50:39.767246
120,77,1,2,50.0,north,storage,2025-08-16T12:10:34.785376
121,78,1,2,50.0,north,storage,2025-08-16T12:18:17.145453
122,79,1,2,50.0,north,storage,2025-08-16T12:59:47.940934
123,80,1,2,50.0,north,storage,2025-08-16T13:01:01.931080
124,81,1,2,50.0,north,storage,2025-08-16T13:11:09.610473
125,82,1,2,50.0,north,storage,2025-08-16T14:41:33.644991
126,83,1,2,50.0,west,storage,2025-08-16T14:46:11.508556
127,84,1,2,50.0,north,storage,2025-08-16T15:42:38.636042
128,85,1,2,50.0,north,storage,2025-08-16T17:02:27.133199
129,86,1,2,50.0,north,storage,2025-08-16T17:03:07.863465
130,87,1,2,50.0,north,storage,2025-08-16T17:13:19.101043
131,88,1,2,50.0,west,storage,2025-08-16T17:18:39.495703
132,89,1,2,50.0,north,storage,2025-08-16T17:23:40.401647
133,89,2,3,100.0,north,storage,2025-08-16T18:06:29.312861
134,91,1,2,50.0,north,storage,2025-08-16T18:14:29.334107
135,92,1,2,50.0,north,storage,2025-08-16T18:20:43.094192
136,93,1,2,100.0,north,storage,2025-08-16T18:29:42.022508
137,94,1,2,50.0,north,storage,2025-08-16T18:33:04.921508
138,95,1,2,50.0,north,storage,2025-08-16T18:42:50.204096
139,96,1,2,50.0,north,storage,2025-08-16T18:49:31.614657
140,97,1,2,50.0,north,storage,2025-08-16T19:02:05.075547
141,98,1,2,50.0,north,storage,2025-08-16T19:06:03.348330
142,99,1,2,50.0,north,storage,2025-08-16T19:13:01.173388
143,99,2,3,50.0,east,storage,2025-08-16T19:32:44.885586
144,99,3,4,50.0,north,storage,2025-08-16T19:34:03.545968
145,99,4,5,50.0,north,storage,2025-08-16T19:34:34.670173
146,99,5,6,50.0,west,storage,2025-08-16T19:34:55.217976
147,100,1,2,50.0,east,storage,2025-08-16T20:03:14.431264
148,101,1,2,50.0,west,storage,2025-08-16T20:09:01.469300
149,101,2,3,50.0,north,storage,2025-08-16T20:11:36.892370
150,102,1,2,50.0,north,storage,2025-08-16T20:12:55.211758
151,101,3,4,50.0,east,storage,2025-08-16T20:24:17.311378
152,103,1,2,50.0,east,storage,2025-08-16T21:07:05.056540
153,103,2,3,50.0,north,storage,2025-08-16T22:08:58.302290
154,104,1,2,50.0,north,storage,2025-08-17T00:27:53.866449
155,104,3,5,45.0,north,storage,2025-08-17T00:29:35.992658
156,104,2,3,50.0,east,storage,2025-08-17T00:29:58.992931
157,105,1,2,50.0,north,storage,2025-08-18T10:36:01.741304
158,105,2,3,50.0,west,storage,2025-08-18T10:36:13.721965
159,105,3,4,50.0,north,storage,2025-08-18T11:59:32.576249
160,105,4,5,50.0,north,storage,2025-08-18T12:56:39.491099
161,107,1,2,50.0,north,storage,2025-08-18T12:58:49.211065
162,108,1,2,50.0,north,storage,2025-08-18T14:52:53.052401
163,109,1,2,50.0,north,storage,2025-08-18T14:59:31.332159
164,110,1,2,50.0,north,storage,2025-08-18T15:00:26.604520
165,110,2,3,50.0,north,storage,2025-08-18T15:18:24.608451
